id,stk_name,日期:
443,天晟新材,6月6日
444,迪贝电气,6月6日
445,方正电机,6月6日
446,天风证券,6月6日
447,银河磁体,6月6日
448,方盛制药,6月6日
449,比亚迪,6月6日
450,乾照光电,6月6日
451,腾信股份,6月6日
452,扬农化工,6月6日
453,中化国际,6月6日
454,南纺股份,6月6日
455,证券名称,6月6日
456,新疆天业,6月6日
457,澄星股份,6月6日
458,蓝英装备,6月6日
459,博腾股份,6月6日
460,天和防务,6月6日
461,德新交运,6月6日
462,博迈科,6月6日
463,金证股份,6月6日
464,博敏电子,6月6日
465,中通国脉,6月6日
466,盈趣科技,6月6日
467,中际旭创,6月6日
468,唐人神,6月6日
469,西部牧业,6月6日
470,保利地产,6月6日
471,中国化学,6月6日
472,中成股份,6月6日
473,太阳能,6月6日
474,科林电气,6月6日
475,际华集团,6月6日
476,融捷股份,6月6日
477,中兴通讯,6月6日
478,贵州茅台,6月6日
479,新希望,6月6日
480,中国联通,6月6日
481,中信证券,6月6日
482,海康威视,6月6日
483,正邦科技,6月6日
484,温氏股份,6月6日
485,中国平安,6月6日
486,五粮液,6月6日
487,紫光国微,6月6日
488,牧原股份,6月6日
489,格力电器,6月6日
490,有研新材,6月6日
491,美锦能源,6月6日
492,北方稀土,6月6日
493,金力永磁,6月6日
494,金力永磁,5月15日
495,英洛华,5月15日
496,五矿稀土,5月15日
497,北方稀土,5月15日
498,厦门钨业,5月15日
499,中国铝业,5月15日
500,广晟有色,5月15日
501,盛和资源,5月15日
502,国泰君安,6月5日
516,天龙光电,6月4日
517,天翔环境,6月4日
518,宁波富邦,6月4日
519,宏盛股份,6月4日
520,东华测试,6月4日
521,理工光科,6月4日
522,怡达股份,6月4日
523,达威股份,6月4日
524,上海天洋,6月4日
525,天目药业,6月4日
526,阳普医疗,6月4日
527,康惠制药,6月4日
528,凯众股份,6月4日
529,三变科技,6月4日
530,万里股份,6月4日
531,金逸影视,6月6日
532,国金证券,5月6日
533,东方通,5月6日
534,东方通信,5月6日
535,华脉科技,5月6日
536,欣天科技,5月6日
537,铭普光磁,5月6日
538,招商证券,5月6日
539,比亚迪,6月6日
540,中信证券,6月6日
541,中原证券,6月6日
542,天味食品,6月6日
543,德方纳米,6月6日
544,贵州茅台,6月6日
545,申万宏源,6月5日
546,海通证券,6月5日
547,机器人,6月5日
548,广发证券,6月5日
549,比亚迪,6月5日
550,德赛电池,6月5日
551,中集集团,6月5日
552,华安证券,6月5日
553,中信证券,6月5日
554,中信建投,6月5日
555,招商证券,6月5日
556,国泰君安,6月5日
557,光大证券,6月5日
558,海通证券,6月5日
